"doc_id","sentence_blurb"
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Likewise, the El Paso Sector ""experienced a significant reduction in drug and smuggling activities in areas where the new border wall system was built."" Congress appropriated $1.375 billion in fiscal year 2020 ""for the construction of [a] barrier system along the southwest border.""2 DHS used those funds to award two contracts to construct approximately thirty-one miles of border wall in the Laredo Sector and entered into an Economy Act agreement with the U.S. Army Corps of Engineers for thirty-seven more miles in the same area. Congress appropriated an additional $1.375 billion ""for the same purposes"" for fiscal year 2021.3 [*269] DHS abruptly reversed its position in January 2021."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Congress appropriated an additional $1.375 billion ""for the same purposes"" for fiscal year 2021.3 [*269] DHS abruptly reversed its position in January 2021. President Biden declared that a southern border wall was ""not a serious policy solution,"" ordered DHS to ""pause work on each construction project on the southern border wall,"" and directed the agency to ""develop a plan for the [**4] redirection of funds concerning the southern border wall.""4 DHS subsequently issued a ""Border Wall Plan"" in June 2021, in which the agency determined it would redirect fiscal year 2020 border wall funds as ""needed to address life, safety, environmental, or other remediation requirements."" It thus terminated or modified its contracts relating to construction of the Laredo Sector border wall."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","President Biden declared that a southern border wall was ""not a serious policy solution,"" ordered DHS to ""pause work on each construction project on the southern border wall,"" and directed the agency to ""develop a plan for the [**4] redirection of funds concerning the southern border wall.""4 DHS subsequently issued a ""Border Wall Plan"" in June 2021, in which the agency determined it would redirect fiscal year 2020 border wall funds as ""needed to address life, safety, environmental, or other remediation requirements."" It thus terminated or modified its contracts relating to construction of the Laredo Sector border wall. DHS also reallocated fiscal year 2021 funds for ""contingency funding for barrier projects funded by the fiscal year 2017 through fiscal year 2020 barrier appropriations"" and for the remediation of ""existing site conditions at the former [Department of Defense] border barrier project sites."" Such remediation efforts included ""completing site drainage features and finishing the construction of patrol, maintenance, and access roads."" That same month, the Texas General Land Office and its commissioner (""the GLO"") filed suit against President Biden, DHS, and DHS's secretary, alleging that DHS's diversion of fiscal year 2020 and 2021 border funds violated the Constitution, appropriations legislation, and the Administrative Procedure Act."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","DHS also reallocated fiscal year 2021 funds for ""contingency funding for barrier projects funded by the fiscal year 2017 through fiscal year 2020 barrier appropriations"" and for the remediation of ""existing site conditions at the former [Department of Defense] border barrier project sites."" Such remediation efforts included ""completing site drainage features and finishing the construction of patrol, maintenance, and access roads."" That same month, the Texas General Land Office and its commissioner (""the GLO"") filed suit against President Biden, DHS, and DHS's secretary, alleging that DHS's diversion of fiscal year 2020 and 2021 border funds violated the Constitution, appropriations legislation, and the Administrative Procedure Act. Missouri and Texas asserted similar claims against those defendants [**5] as well as the United States, Customs and Border Protection, and CBP's acting commissioner (together ""the Federal Defendants"") in an action commenced six months later in October 2021."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Missouri and Texas asserted similar claims against those defendants [**5] as well as the United States, Customs and Border Protection, and CBP's acting commissioner (together ""the Federal Defendants"") in an action commenced six months later in October 2021. They also sought a preliminary injunction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","They also sought a preliminary injunction. The cases were consolidated, the GLO amended its complaint, and the federal defendants moved to dismiss both cases."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The cases were consolidated, the GLO amended its complaint, and the federal defendants moved to dismiss both cases. The district court held that the GLO had standing to sue, but it dismissed all claims except for the GLO's APA challenges."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The district court held that the GLO had standing to sue, but it dismissed all claims except for the GLO's APA challenges. The court dismissed Texas for improperly splitting its claims, and it dismissed Missouri for lack of standing."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The court dismissed Texas for improperly splitting its claims, and it dismissed Missouri for lack of standing. The States' request for a preliminary injunction was consequently denied as moot."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The States' request for a preliminary injunction was consequently denied as moot. The States appeal that judgment.5 DISCUSSION The States request that this court reinstate Texas, hold the States have standing to pursue their claims, and grant their preliminary injunction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The States appeal that judgment.5 DISCUSSION The States request that this court reinstate Texas, hold the States have standing to pursue their claims, and grant their preliminary injunction. We agree that Texas should not have been dismissed for claim splitting and that Texas's Article III standing confers federal jurisdiction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","We agree that Texas should not have been dismissed for claim splitting and that Texas's Article III standing confers federal jurisdiction. But we must decline to grant the requested preliminary injunction and instead remand for the district court's consideration in the first instance."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","But we must decline to grant the requested preliminary injunction and instead remand for the district court's consideration in the first instance. A."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","See Oliney v. Gardner, 771 F.2d 856, 859 (5th Cir. 1985); see also Gulf Island-IV, Inc. v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Gardner, 771 F.2d 856, 859 (5th Cir. 1985); see also Gulf Island-IV, Inc. v. Blue Streak-Gulf Is Ops, 24 F.3d 743, 746 (5th Cir. 1994)."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Blue Streak-Gulf Is Ops, 24 F.3d 743, 746 (5th Cir. 1994). This principle is rooted in res judicata and primarily serves ""to protect the defendant from being harassed by repetitive actions based on the same claim."" Matter of Super Van, Inc., 92 F.3d 366, 371 (5th Cir. 1996)."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","This principle is rooted in res judicata and primarily serves ""to protect the defendant from being harassed by repetitive actions based on the same claim."" Matter of Super Van, Inc., 92 F.3d 366, 371 (5th Cir. 1996). The parties agree that the two lawsuits here involve the same claims and different parties.7 The question, then, is whether the GLO and the State of Texas are in privity."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The parties agree that the two lawsuits here involve the same claims and different parties.7 The question, then, is whether the GLO and the State of Texas are in privity. The district court held that they are."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The district court held that they are. That conclusion is incorrect."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Battery Corp., 908 F.2d 1262, 1266 (5th Cir. 1990). Privity ""is not established by the mere fact that persons may be interested in the same question or in proving the same set of facts."" Freeman v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Privity ""is not established by the mere fact that persons may be interested in the same question or in proving the same set of facts."" Freeman v. Lester Coggins Trucking, Inc., 771 F.2d 860, 865 (5th Cir. 1985) (quoting Hardy v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Lester Coggins Trucking, Inc., 771 F.2d 860, 865 (5th Cir. 1985) (quoting Hardy v. Johns-Manville Sales Corp., 681 F.2d 334, 340 (5th Cir. 1982))."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Johns-Manville Sales Corp., 681 F.2d 334, 340 (5th Cir. 1982)). And it ""requires more than a showing of parallel interests or, even, a use of the same attorney in both suits."" Id. at 864."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","And it ""requires more than a showing of parallel interests or, even, a use of the same attorney in both suits."" Id. at 864. Where lawsuits involve different agencies of the same state, the ""crucial point is whether or not in the earlier litigation the representative [**7] of [the state] had authority to represent [the state's] interests in a final adjudication of the issue in controversy."" Sunshine Anthracite Coal Co. v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Where lawsuits involve different agencies of the same state, the ""crucial point is whether or not in the earlier litigation the representative [**7] of [the state] had authority to represent [the state's] interests in a final adjudication of the issue in controversy."" Sunshine Anthracite Coal Co. v. Adkins, 310 U.S. 381, 403, 60 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ct. 907, 917, 84 L. Ed. 1263, 1940-1 C.B. 258 (1940).8 Here, the GLO's interests are not adequately aligned, factually or legally, with those of Texas."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ed. 1263, 1940-1 C.B. 258 (1940).8 Here, the GLO's interests are not adequately aligned, factually or legally, with those of Texas. Factually, the GLO alleges that the Biden administration's changed border wall policy inflicts harms ""particularly concentrated on a 3099-acre farm owned by the State of Texas in Starr County, Texas ('GLO Farm')."" The GLO is the lessor of the GLO Farm and sues to vindicate its interests as the landlord and landowner/administrator of that property."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Factually, the GLO alleges that the Biden administration's changed border wall policy inflicts harms ""particularly concentrated on a 3099-acre farm owned by the State of Texas in Starr County, Texas ('GLO Farm')."" The GLO is the lessor of the GLO Farm and sues to vindicate its interests as the landlord and landowner/administrator of that property. The agency asserts the following injuries: diminished marketability, value, quiet use and enjoyment, and rental income; restrictions on the manner, methods, and timing for conducting certain farming operations, such as the spraying of chemicals; and the limiting of ""[e]ssential farm activities such as the sorting of crops"" to daylight hours ""due to security concerns."" And its request for relief focuses on the Rio Grande Valley-09 Project, a ""two-mile segment of the Starr County border wall [that] was scheduled to be constructed on the GLO Farm."" [*271] The State of Texas, in comparison, sues to vindicate its ""fiscal interests [**8] from the increase in unlawful migrants entering and remaining in the State[ ]."" These fiscal interests include the additional costs of issuing driver's licenses, educating, providing healthcare, and criminal-justice processing."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The agency asserts the following injuries: diminished marketability, value, quiet use and enjoyment, and rental income; restrictions on the manner, methods, and timing for conducting certain farming operations, such as the spraying of chemicals; and the limiting of ""[e]ssential farm activities such as the sorting of crops"" to daylight hours ""due to security concerns."" And its request for relief focuses on the Rio Grande Valley-09 Project, a ""two-mile segment of the Starr County border wall [that] was scheduled to be constructed on the GLO Farm."" [*271] The State of Texas, in comparison, sues to vindicate its ""fiscal interests [**8] from the increase in unlawful migrants entering and remaining in the State[ ]."" These fiscal interests include the additional costs of issuing driver's licenses, educating, providing healthcare, and criminal-justice processing. Texas therefore broadly asks the court to compel DHS to build a barrier system along the southwest border."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Texas therefore broadly asks the court to compel DHS to build a barrier system along the southwest border. The fiscal interests asserted by Texas are plainly distinct from the GLO's narrower proprietary interests, and Texas's broader interests would justify broader relief in a final injunction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The fiscal interests asserted by Texas are plainly distinct from the GLO's narrower proprietary interests, and Texas's broader interests would justify broader relief in a final injunction. Further, the GLO has no legal authority to represent the interests Texas asserts here ""in a final adjudication of the issue in controversy."" Sunshine Anthracite Coal, 310 U.S. at 403, 60 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Further, the GLO has no legal authority to represent the interests Texas asserts here ""in a final adjudication of the issue in controversy."" Sunshine Anthracite Coal, 310 U.S. at 403, 60 S. Ct. at 917; see also Saldano v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ct. at 917; see also Saldano v. Roach, 363 F.3d 545, 552 (5th Cir. 2004) (only ""the Attorney General or a county or district attorney may represent the State"" qua state (quoting Hill v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Roach, 363 F.3d 545, 552 (5th Cir. 2004) (only ""the Attorney General or a county or district attorney may represent the State"" qua state (quoting Hill v. Tex."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Tex. Water Quality Bd., 568 S.W.2d 738, 741 (Tex."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Water Quality Bd., 568 S.W.2d 738, 741 (Tex. Civ."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Civ. App.—Austin 1978, writ ref'd n.r.e.)))."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Code § 31.051. Cf. Sierra Club v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Cf. Sierra Club v. City of San Antonio, 115 F.3d 311, 315 (5th Cir. 1997) (on motion by State of Texas to intervene pursuant to Federal Rule of Civil Procedure 24(a)(2), state agencies did not adequately represent the interests of the State of Texas, ""and, under Texas law, may not do so"")."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","City of San Antonio, 115 F.3d 311, 315 (5th Cir. 1997) (on motion by State of Texas to intervene pursuant to Federal Rule of Civil Procedure 24(a)(2), state agencies did not adequately represent the interests of the State of Texas, ""and, under Texas law, may not do so""). In sum, the State of Texas [**9] and the GLO are not in privity for the purpose of claim splitting."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","In sum, the State of Texas [**9] and the GLO are not in privity for the purpose of claim splitting. The district court consequently erred in dismissing Texas.9 B."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The district court consequently erred in dismissing Texas.9 B. Standing Each State asserts it has standing."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Standing Each State asserts it has standing. But only one needs standing for the action to proceed.10 Texas v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","But only one needs standing for the action to proceed.10 Texas v. United States (DAPA Case), 809 F.3d 134, 151 (5th Cir. 2015), aff'd by an equally divided Court, 579 U.S. 547, 136 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","United States (DAPA Case), 809 F.3d 134, 151 (5th Cir. 2015), aff'd by an equally divided Court, 579 U.S. 547, 136 S. Ct. 2271, 195 L."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ed. 2d 638 (2016) (per curiam); Texas v. Biden (Texas II), 20 F.4th 928, 969 (5th Cir. 2021), rev'd on other grounds, 142 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Biden (Texas II), 20 F.4th 928, 969 (5th Cir. 2021), rev'd on other grounds, 142 S. Ct. 2528, 213 L."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","United States (DACA Case), 50 F.4th 498, 513 (5th Cir. 2022). Texas must therefore show (i) ""an injury in fact that is concrete, particularized, and actual or imminent,"" (ii) that the defendant ""likely caused"" the injury, and (iii) ""that the injury would likely be redressed by judicial relief."" TransUnion LLC v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Texas must therefore show (i) ""an injury in fact that is concrete, particularized, and actual or imminent,"" (ii) that the defendant ""likely caused"" the injury, and (iii) ""that the injury would likely be redressed by judicial relief."" TransUnion LLC v. Ramirez, 141 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ed. 2d 568 (2021). Texas ""must make this showing 'with the manner and degree of evidence required at the successive stages of the litigation.'"" DACA Case, 50 F.4th at 513 (quoting Lujan v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Texas ""must make this showing 'with the manner and degree of evidence required at the successive stages of the litigation.'"" DACA Case, 50 F.4th at 513 (quoting Lujan v. Defenders of Wildlife, 504 U.S. 555, 561, 112 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ed. 2d 351 (1992)). At the pleading stage, ""general factual allegations of injury resulting from the defendant's conduct may suffice, for on a motion to dismiss we 'presum[e] that general allegations embrace those specific facts that are necessary to support the claim.'"" Lujan, 504 U.S. at 561, 112 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","At the pleading stage, ""general factual allegations of injury resulting from the defendant's conduct may suffice, for on a motion to dismiss we 'presum[e] that general allegations embrace those specific facts that are necessary to support the claim.'"" Lujan, 504 U.S. at 561, 112 S. Ct. at 2137 (alteration in original) (citation omitted). [**10] Injury in fact is not at issue."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ct. at 2137 (alteration in original) (citation omitted). [**10] Injury in fact is not at issue. Texas has alleged that if border wall construction does not proceed, the State will ""incur unrecoverable costs in issuing driver's licenses, providing education, and administering healthcare"" to illegal aliens who would not otherwise be in the State."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Texas has alleged that if border wall construction does not proceed, the State will ""incur unrecoverable costs in issuing driver's licenses, providing education, and administering healthcare"" to illegal aliens who would not otherwise be in the State. The Federal Defendants do not contest the sufficiency of this pleading."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The Federal Defendants do not contest the sufficiency of this pleading. Nor could they, as such financial harms are readily cognizable and well-established in this court's precedents.11 As to causation, Texas needs only to have alleged facts showing the Federal Defendants' conduct is a cause-in-fact of the injury that the State asserts."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Nor could they, as such financial harms are readily cognizable and well-established in this court's precedents.11 As to causation, Texas needs only to have alleged facts showing the Federal Defendants' conduct is a cause-in-fact of the injury that the State asserts. Dep't of Com. v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Dep't of Com. v. New York, 139 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Texas has done so here, alleging facts that, if true, demonstrate DHS's June 2021 decision12 to divert 2020 and 2021 funds away from the creation of a border wall will result in fiscal injuries to the State. Specifically, Texas alleges (and the DHS has in the past affirmed) border barriers (i) reduce illegal entries in areas where constructed, and (ii) increase the rate at which illegal aliens are detected and apprehended."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Specifically, Texas alleges (and the DHS has in the past affirmed) border barriers (i) reduce illegal entries in areas where constructed, and (ii) increase the rate at which illegal aliens are detected and apprehended. These benefits reduce some number of illegal immigrants [**11] entering Texas, even if they do not fully stem the tide, and thereby reduce Texas's costs relative to a non-border wall policy."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","These benefits reduce some number of illegal immigrants [**11] entering Texas, even if they do not fully stem the tide, and thereby reduce Texas's costs relative to a non-border wall policy. The Federal Defendants respond that Texas failed to demonstrate DHS's 2021 spending plan ""will cause a net increase in the number of undocumented immigrants who enter the United States."" In other words, the Federal Defendants argue that DHS's 2021 plan is at least as effective in reducing the relative amount of illegal immigration as building additional [*273] border barriers."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The Federal Defendants respond that Texas failed to demonstrate DHS's 2021 spending plan ""will cause a net increase in the number of undocumented immigrants who enter the United States."" In other words, the Federal Defendants argue that DHS's 2021 plan is at least as effective in reducing the relative amount of illegal immigration as building additional [*273] border barriers. This argument fails on several levels."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","This argument fails on several levels. First, it is inconsistent with the government's administrative record, filed in GLO v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","First, it is inconsistent with the government's administrative record, filed in GLO v. Biden, 7:21-cv-272 (S.D. Tex.), that says deterrence of illegal border activities ""is achieved primarily through"" border barriers."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Biden, 7:21-cv-272 (S.D. Tex.), that says deterrence of illegal border activities ""is achieved primarily through"" border barriers. Second, the effectiveness of the Federal Defendants' 2021 border wall plan raises a factual merits defense, not a response cognizable on a motion to dismiss where allegations in Texas's complaint must be taken as true."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Second, the effectiveness of the Federal Defendants' 2021 border wall plan raises a factual merits defense, not a response cognizable on a motion to dismiss where allegations in Texas's complaint must be taken as true. See Lujan, 504 U.S. at 561, 112 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","See Lujan, 504 U.S. at 561, 112 S. Ct. at 2137; see also Massachusetts v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Ct. at 2137; see also Massachusetts v. EPA, 549 U.S. at 523-25, 127 S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","EPA, 549 U.S. at 523-25, 127 S. Ct. at 1457-58 (causation established where State alleged EPA's non-action would cause people to drive less fuel-efficient vehicles, which would contribute to a rise in sea levels, which would cause the erosion of Massachusetts's [**12] shoreline)."
