Summary
Total Documents with Terms,41
Total Documents without Terms,60

Document,Terms Found,Term Count
"Al-Hela v. Biden, 66 F.4th 217.DOCX",alien,1
"C.M. v. United States, 672 F. Supp. 3d 288.DOCX","alien, illegal entry",2
"Jenkins v. Broomfield, 2023 U.S. Dist. LEXIS 220331.DOCX",alien,1
"United States v. Carrillo-Lopez, 68 F.4th 1133.DOCX","alien, illegal entry",2
"Baird v. Bonta, 709 F. Supp. 3d 1091.DOCX",coyote,1
"United States v. Mora-Carrillo, 80 F.4th 712.DOCX",alien,1
"Soaring Pine Capital Real Estate & Debt Fund II, LLC v. Park St. Group Realty Servs., LLC, 511 Mich.DOCX",alien,1
"M.A.N.H. v. United States, 2023 U.S. Dist. LEXIS 169613.DOCX","alien, illegal entry",2
"United States v. York, 2023 U.S. Dist. LEXIS 98916.DOCX","alien smuggling, alien",2
"United States v. Cunningham, 2023 U.S. App. LEXIS 8146.DOCX","alien smuggling, alien, illegal entry, harboring",4
"Haro v. Cnty. of Porter Indiana, 2023 U.S. Dist. LEXIS 175283.DOCX",harboring,1
"United States v. Rolle, 65 F.4th 1273.DOCX","alien smuggling, alien, illegal entry, harboring",4
"United States v. Rodriguez, 2023 U.S. App. LEXIS 11550.DOCX","alien smuggling, alien, illegal entry",3
"United States v. Henderickson, 2023 U.S. App. LEXIS 22336.DOCX",undocumented immigrants,1
"United States v. Yusuf, 57 F.4th 440.DOCX","alien, illegal entry, harboring",3
"United States v. Moreno, 2023 U.S. App. LEXIS 9422.DOCX","alien smuggling, alien",2
"Baarbé v. Syrian Arab Republic, 679 F. Supp. 3d 303.DOCX",alien,1
"United States v. Witt, 2023 U.S. Dist. LEXIS 161118.DOCX","alien smuggling, alien, transportation of illegal aliens",3
"United States v. Gil, 2023 U.S. App. LEXIS 7688.DOCX","alien smuggling, alien, harboring",3
"Goodson v. Cnty. of Plumas, 2023 U.S. Dist. LEXIS 125903.DOCX",No terms found,0
"United States v. Aguilar, 2023 U.S. Dist. LEXIS 233050.DOCX",No terms found,0
"Hudson v. AFGE, 2023 U.S. Dist. LEXIS 104680.DOCX",No terms found,0
"Jones v. Ward, 2023 U.S. Dist. LEXIS 132509.DOCX",No terms found,0
"Alonzo v. State, 2023 Tex. App. LEXIS 433.DOCX",No terms found,0
"In the Int. of E.W., 2 N.W.3d 66.DOCX",No terms found,0
"Pataro v. Castellón, 2023 U.S. Dist. LEXIS 81090.DOCX",No terms found,0
"Jennings v. LeMaster, 2023 U.S. App. LEXIS 7482.DOCX",No terms found,0
"In re J.M., 2023 Cal. App. Unpub. LEXIS 1879.DOCX",No terms found,0
"United States v. Valenzuela, 57 F.4th 518.DOCX",No terms found,0
"State v. Hardison, 680 S.W.3d 282.DOCX",No terms found,0
"Moore v. Ill. Bell Tel. Co., LLC, 2023 U.S. Dist. LEXIS 86414.DOCX",No terms found,0
"Inzunza v. Pima Cnty., 2023 U.S. Dist. LEXIS 204375.DOCX",No terms found,0
"Tilmon v. Chairman, 2023 U.S. Dist. LEXIS 138640.DOCX",No terms found,0
"United States v. Perez, 2023 U.S. App. LEXIS 17665.DOCX",No terms found,0
"Bonacasa v. Std. Chtd. PLC, 2023 U.S. Dist. LEXIS 38147.DOCX",No terms found,0
"State v. Bagby, 200 Wn.2d 777.DOCX",No terms found,0
"United States v. Lynn, 2023 U.S. Dist. LEXIS 239538.DOCX",No terms found,0
"United States v. Daniels, 77 F.4th 337.DOCX",No terms found,0
"United States v. Daibagya, 2023 U.S. Dist. LEXIS 173144.DOCX",No terms found,0
"In v. Moros, 2023 U.S. Dist. LEXIS 124336.DOCX",No terms found,0
"Ashker v. Newsom, 81 F.4th 863.DOCX",No terms found,0
"Balentine v. Anzalone, 2023 U.S. Dist. LEXIS 119832.DOCX",No terms found,0
"Swenson v. Vedder, 2023 U.S. Dist. LEXIS 52388.DOCX",No terms found,0
"Brooks v. Harper, 2023 U.S. Dist. LEXIS 34923.DOCX",No terms found,0
"Miller v. LeBlanc, 2023 U.S. Dist. LEXIS 173898.DOCX",No terms found,0
"Funches v. Miller, 2023 U.S. Dist. LEXIS 372.DOCX",No terms found,0
"Morales v. Sarmiento, 2023 U.S. Dist. LEXIS 99734.DOCX",No terms found,0
"United States v. 8,911 Type 56-1 Assault Rifles, 2023 U.S. Dist. LEXIS 213779.DOCX",No terms found,0
"Winchester v. Salvation Army, 2023 Ky. App. Unpub. LEXIS 661.DOCX",No terms found,0
"State v. Vaile, 2023 Wash. App. LEXIS 921.DOCX",No terms found,0
"Tilmon v. Soignier, 2023 U.S. Dist. LEXIS 63672.DOCX",No terms found,0
"United States v. Newell, 2023 U.S. App. LEXIS 15083.DOCX",No terms found,0
"White v. Brokaw, 2023 U.S. Dist. LEXIS 91430.DOCX",No terms found,0
"Murphy v. Hughson, 82 F.4th 177.DOCX",No terms found,0
"Schwarzer v. Wainwright, 2023 U.S. Dist. LEXIS 53319.DOCX",No terms found,0
"United States v. Marin, 660 F. Supp. 3d 693.DOCX",No terms found,0
"Heggs v. City of New York, 2023 U.S. Dist. LEXIS 149647.DOCX",No terms found,0
"Zobay v. MTN Grp. Ltd., 695 F. Supp. 3d 301.DOCX",No terms found,0
"United States v. Gonzales, 2023 U.S. Dist. LEXIS 177226.DOCX",No terms found,0
"Gordon v. United States AG, 2023 U.S. App. LEXIS 5851.DOCX",No terms found,0
"Williams v. Eckstein, 2023 U.S. Dist. LEXIS 41450.DOCX",No terms found,0
"United States v. Ramos-Guerra, 2023 U.S. Dist. LEXIS 24722.DOCX",No terms found,0
"Muller v. City of New York, 2023 N.Y. Misc. LEXIS 2782.DOCX",No terms found,0
"In re Civ. Commitment of Terry Lee Bryant, 2023 Minn. Dist. LEXIS 5639.DOCX",No terms found,0
"United States v. Dávila-Reyes, 84 F.4th 400.DOCX",No terms found,0
"United States v. Williams, 2023 U.S. Dist. LEXIS 191547.DOCX",No terms found,0
"State v. Coleman, 2023 N.M. App. Unpub. LEXIS 5.DOCX",No terms found,0
"Keodara v. Boe, 2023 U.S. Dist. LEXIS 177315.DOCX",No terms found,0
"Matter of Then v. Annucci, 213 A.D.3d 1183.DOCX",No terms found,0
"People v. Dare, 2023 Cal. App. Unpub. LEXIS 2455.DOCX",No terms found,0
"United States v. Sparks, 659 F. Supp. 3d 1056.DOCX",No terms found,0
"United States v. Alas-Ayala, 2023 U.S. App. LEXIS 29788.DOCX",No terms found,0
"Crowell v. Obion Cnty., 2023 U.S. Dist. LEXIS 195677.DOCX",No terms found,0
"Clarke v. Wis. Elections Comm'n, 2023 WI 79.DOCX",No terms found,0
"Benjamin v. Just. & Pub. Safety Cabinet, 2023 U.S. Dist. LEXIS 168196.DOCX",No terms found,0
"Carrington v. Dorsey, 2023 U.S. Dist. LEXIS 159616.DOCX",No terms found,0
"State v. Grace, 2023-Ohio-165.DOCX",No terms found,0
"Gillman v. City of Troy, 2023 U.S. Dist. LEXIS 128146.DOCX",No terms found,0
"United States v. Lopez, 2023 U.S. Dist. LEXIS 28288.DOCX",No terms found,0
