Summary
Total Documents with Terms,18
Total Documents without Terms,83

Document,Terms Found,Term Count
"United States v. Howard, 2023 U.S. Dist. LEXIS 209835.DOCX",No terms found,0
"State v. Murillo-Godoy, 32 Neb. App. 374.DOCX",No terms found,0
"City of N.Y. v. Old Dominion Tobacco Co., Inc., 2023 U.S. Dist. LEXIS 182413.DOCX",No terms found,0
"In re Pers. Restraint of Scollard, 2023 Wash. App. LEXIS 1592.DOCX",No terms found,0
"Hoyt v. LeBlanc, 2023 U.S. Dist. LEXIS 166533.DOCX",No terms found,0
"Maduk v. CVS Pharm., Inc., 2023 U.S. Dist. LEXIS 81362.DOCX",No terms found,0
"Pataro v. Castellón, 2023 U.S. Dist. LEXIS 203871.DOCX",No terms found,0
"United States v. Belloisi, 2023 U.S. Dist. LEXIS 55549.DOCX",No terms found,0
"Williams v. United States, 2023 U.S. Dist. LEXIS 201488.DOCX",No terms found,0
"United States v. Roggio, 2023 U.S. Dist. LEXIS 77493.DOCX",No terms found,0
"People v. Brians, 2023 Cal. App. Unpub. LEXIS 333.DOCX",No terms found,0
"State v. Stryker, 2023 MT 63.DOCX",No terms found,0
"Winston v. Gipson, 2023 U.S. Dist. LEXIS 46636.DOCX",No terms found,0
"Piazza v. Kauffman, 2023 U.S. Dist. LEXIS 57578.DOCX",No terms found,0
"United States v. Smith, 2023 U.S. App. LEXIS 16530.DOCX",No terms found,0
"State v. Hoadrea, 2023 Wash. App. LEXIS 1194.DOCX",No terms found,0
"United States v. Henderson, 2023 U.S. Dist. LEXIS 66738.DOCX",No terms found,0
"People v. Superior Court (Cortez), 87 Cal. App. 5th 474.DOCX",No terms found,0
"United States v. Daniel, 2023 U.S. App. LEXIS 21751.DOCX",No terms found,0
"Bonaparte v. United States, 2023 U.S. Dist. LEXIS 222862.DOCX",No terms found,0
"Kerch v. Jones, 2023 U.S. Dist. LEXIS 238542.DOCX",No terms found,0
"Boardman v. United States, 2023 U.S. Dist. LEXIS 25690.DOCX",No terms found,0
"People v. Flores, 2023 Cal. App. Unpub. LEXIS 775.DOCX",No terms found,0
"Flores v. Va. Dep't of Corr., 2023 U.S. Dist. LEXIS 172884.DOCX",No terms found,0
"Stepanyan v. United States, 2023 U.S. Dist. LEXIS 171525.DOCX",No terms found,0
"United States v. Wigfall, 677 F. Supp. 3d 791.DOCX",No terms found,0
"United States v. Davalos, 2023 U.S. App. LEXIS 17836.DOCX",No terms found,0
"United States v. Becton, 2023 U.S. Dist. LEXIS 16149.DOCX",No terms found,0
"Sharifi v. Dunn, 2023 U.S. Dist. LEXIS 160186.DOCX",No terms found,0
"United States v. Andino-Rodríguez, 79 F.4th 7.DOCX",No terms found,0
"United States v. Ramos-Baez, 86 F.4th 28.DOCX",No terms found,0
"Roberts v. Wexford Health Sources, Inc., 2023 U.S. Dist. LEXIS 23850.DOCX",No terms found,0
"Ex parte Perez, 2023 Tex. App. LEXIS 1253.DOCX",No terms found,0
"Butler v. Stirling, 2023 U.S. Dist. LEXIS 145580.DOCX",No terms found,0
"United States v. Roggio, 2023 U.S. Dist. LEXIS 77499.DOCX",No terms found,0
"United States v. Alladawi, 707 F. Supp. 3d 920.DOCX",No terms found,0
"United States v. Paitsel, 2023 U.S. Dist. LEXIS 28597.DOCX",No terms found,0
"United States v. Diggs, 81 F.4th 755.DOCX",No terms found,0
"Dove v. Friday, 2023 U.S. Dist. LEXIS 41641.DOCX",No terms found,0
"United States v. Ordoñez, 2023 U.S. Dist. LEXIS 24588.DOCX",No terms found,0
"United States v. Orduno-Ramirez, 61 F.4th 1263.DOCX",No terms found,0
"Belyew v. Honea, 2023 U.S. Dist. LEXIS 131030.DOCX",No terms found,0
"United States v. Dejesus, 2023 U.S. Dist. LEXIS 174312.DOCX",No terms found,0
"United States v. Cortez-Balderas, 74 F.4th 786.DOCX",No terms found,0
"Est. of Holliman v. Turner, 2023 U.S. Dist. LEXIS 155178.DOCX",No terms found,0
"People v. Moses, 2023 IL App (5th) 210115-U.DOCX",No terms found,0
"United States v. Ahmed Alahmedalabdaloklah, 76 F.4th 1183.DOCX",No terms found,0
"Vuyyuru v. Reddy, 2023 U.S. Dist. LEXIS 168674.DOCX",No terms found,0
"Bonacasa v. Std. Chtd. PLC, 2023 U.S. Dist. LEXIS 192964.DOCX",No terms found,0
"United States v. Allen, 2023 U.S. Dist. LEXIS 208960.DOCX",No terms found,0
"United States v. Adams, 2023 U.S. Dist. LEXIS 136866.DOCX",No terms found,0
"United States v. Bigbee, 2023 U.S. Dist. LEXIS 2288.DOCX",No terms found,0
"United States v. Colon-Torres, 2023 U.S. Dist. LEXIS 134259.DOCX",No terms found,0
